"comando";"tipo";"regiao";"tamanho";"threads";"rodada";"init";"allocate";"mandelbrot";"write";"total";"qnt"
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;7;0,00001;0,00511;0,13539;0,00518;0,14570;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;8;0,00001;0,00697;0,13505;0,00614;0,14817;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;9;0,00001;0,00490;0,13512;0,00555;0,14558;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;0;0,00001;0,01890;0,53977;0,02105;0,57974;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;1;0,00001;0,02046;0,53720;0,02164;0,57931;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;2;0,00001;0,01836;0,53490;0,01980;0,57307;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;3;0,00001;0,01828;0,48403;0,01652;0,51884;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;4;0,00001;0,01920;0,47329;0,01803;0,51052;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;5;0,00001;0,01796;0,47031;0,02119;0,50947;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;6;0,00001;0,01812;0,50343;0,01636;0,53793;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;7;0,00001;0,01625;0,47324;0,01669;0,50619;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;8;0,00001;0,01648;0,46342;0,01729;0,49720;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 1024 1 ";"SEQ";1;1024;1;9;0,00001;0,01711;0,46998;0,01678;0,50388;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;0;0,00001;0,06322;1,88202;0,07262;2,01787;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;1;0,00001;0,06529;1,87089;0,06576;2,00195;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;2;0,00001;0,06585;1,84944;0,06678;1,98207;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;3;0,00001;0,06568;1,93987;0,07635;2,08190;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;4;0,00001;0,06512;1,87032;0,06578;2,00123;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;5;0,00001;0,06346;1,84705;0,06491;1,97543;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;6;0,00001;0,06434;1,86117;0,06859;1,99411;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;7;0,00002;0,06607;1,89267;0,06554;2,02429;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 2048 1 ";"SEQ";1;2048;1;8;0,00001;0,06559;1,87983;0,06698;2,01241;1
