Comando,Tipo,Regiao,Tamanho,Thread,Rodada,Init,Allocate,Mandelbrot,Write,Total
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,2,0.00001,0.00015,0.00360,0.00026,0.00403
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,3,0.00002,0.00010,0.00315,0.00023,0.00350
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,3,0.00003,0.00013,0.00358,0.00028,0.00402
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,4,0.00001,0.00009,0.00319,0.00024,0.00353
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,4,0.00002,0.00017,0.00343,0.00021,0.00383
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,5,0.00001,0.00009,0.00330,0.00024,0.00364
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,5,0.00001,0.00013,0.00334,0.00019,0.00368
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,6,0.00001,0.00014,0.00334,0.00028,0.00377
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,6,0.00002,0.00014,0.00386,0.00041,0.00443
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,7,0.00002,0.00014,0.00334,0.00025,0.00376
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,7,0.00002,0.00018,0.00336,0.00023,0.00379
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,8,0.00001,0.00009,0.00315,0.00015,0.00340
./mandelbrot_pth -0.188 -0.012 0.554 0.754 64 1 ,PTH,0,64,1,8,0.00001,0.00011,0.00331,0.00019,0.00362
./mandelbrot_omp -0.188 -0.012 0.554 0.754 64 1 ,OMP,0,64,1,9,0.00001,0.00009,0.00312,0.00014,0.00336
