tipo,regiao,tamanho,threads,total_mean,total_std,write_mean,write_std,mondelbrot_mean,mondelbrot_std,image_buffer_mean,image_buffer_std
OMP,3,32,16,0.0009360000000000002,6.113736809658866e-05,7.1e-05,8.755950357709134e-06,0.0008400000000000001,5.637178175095921e-05,2e-05,0.0
OMP,3,32,32,0.0016810000000000002,0.00024333105021759972,6.699999999999999e-05,6.74948557710553e-06,0.0015859999999999995,0.00024744022847279036,2e-05,0.0
OMP,3,64,1,0.00048600000000000005,3.3730961708462734e-05,9.1e-05,1.2866839377079185e-05,0.00031299999999999996,1.4944341180973286e-05,7.599999999999998e-05,8.432740427115682e-06
OMP,3,64,2,0.000542,4.3665394383500815e-05,0.00015999999999999999,2e-05,0.00026799999999999995,2.1499353995462794e-05,0.00010499999999999999,1.779513042005218e-05
OMP,3,64,4,0.000545,8.12745689349107e-05,0.00014399999999999998,1.6465452046971313e-05,0.00031999999999999997,8.498365855987973e-05,7.5e-05,5.270462766947306e-06
OMP,3,64,8,0.0008150000000000001,0.0007502629168794393,0.000149,1.1972189997378656e-05,0.0005849999999999999,0.0007501740538775727,7.199999999999999e-05,4.216370213557846e-06
OMP,3,64,16,0.001041,6.556591255285696e-05,0.000123,4.830458915396458e-06,0.0008369999999999999,6.183310871477621e-05,7.599999999999999e-05,5.163977794943227e-06
OMP,3,64,32,0.0018280000000000002,0.0001410122138130044,0.000122,4.216370213557833e-06,0.001617,0.00014118939211018813,7.9e-05,2.1832697191750418e-05
OMP,3,128,1,0.001708,7.814516406449389e-05,0.000218,2.8205594401741554e-05,0.0012,5.270462766947293e-05,0.00028699999999999993,1.3374935098492582e-05
OMP,3,128,2,0.001446,8.527081042837053e-05,0.000364,4.623610902506588e-05,0.000764,6.022181221672647e-05,0.000309,1.5238839267549956e-05
OMP,3,128,4,0.0015320000000000002,0.00014793391918165507,0.000391,6.590397054300546e-05,0.000801,4.557045826702503e-05,0.00033199999999999994,5.432413009990231e-05
OMP,3,128,8,0.001506,0.00021412353651312804,0.000498,0.00021549941995281568,0.000699,8.75595035770915e-06,0.00030199999999999997,3.552776691859795e-05
OMP,3,128,16,0.0018660000000000003,0.0003189287625090524,0.0004320000000000001,0.0003190541577155132,0.0011179999999999999,2.820559440174156e-05,0.000303,1.3374935098492604e-05
OMP,3,128,32,0.002379,0.00011618471882691323,0.00034100000000000005,7.3786478737262125e-06,0.001731,0.0001256494241044414,0.000298,1.0327955589886443e-05
OMP,3,256,1,0.0062629999999999995,0.0003230428248184235,0.000728,9.065195959149354e-05,0.004472,0.00023672769166280486,0.001059,4.332051092342599e-05
OMP,3,256,2,0.005307000000000001,0.00044562191248735596,0.00135,0.00018672618098881222,0.0026449999999999998,0.00016242947187420566,0.001303,0.00019408188420812949
OMP,3,256,4,0.005091,0.00017168770097670562,0.001404,0.000147738507731284,0.002547,0.00012789318459818997,0.001132,3.047767853509983e-05
OMP,3,256,8,0.006095,0.0014500593857570876,0.001781,0.0006870298392355312,0.0031420000000000003,0.0013763623553895005,0.0011630000000000002,0.00010573026477262268
OMP,3,256,16,0.004746,0.0003211161091498769,0.001369,0.00015821574581002438,0.0020280000000000003,0.00015090836071382301,0.001339,0.00023411535618152006
OMP,3,256,32,0.005118,0.0004656608207697959,0.001269,0.0001357653203959767,0.00267,0.000487396712704913,0.00117,5.7348835113617514e-05
OMP,3,512,1,0.029387999999999997,0.0018238165112386367,0.003444,0.0003967422897101399,0.020907000000000002,0.0013498152136907915,0.005026,0.00047535250078231434
OMP,3,512,2,0.020469,0.0006967934493887778,0.0052049999999999996,0.00033899360859264996,0.010434999999999998,0.0006330569572409033,0.0048189999999999995,0.00023834848436690318
OMP,3,512,4,0.019126,0.0005802336694049312,0.004997,0.00044327192557165184,0.009531,0.00022752045085124874,0.004588,0.00010400854665736743
OMP,3,512,8,0.027499000000000003,0.004448301673422992,0.008608000000000001,0.0024398897971470396,0.013293,0.0031747932566109274,0.005587000000000001,0.00043982445993322774
OMP,3,512,16,0.017621,0.0013002773208477918,0.005267000000000001,0.00025219260716981994,0.006840000000000001,0.0005147815070493497,0.005505000000000001,0.0009795038426559533
OMP,3,512,32,0.015906,0.0007329120001746467,0.005285,0.00029553153620026553,0.005446000000000001,0.00044612404851864516,0.005163,0.00023285904176847716
OMP,3,1024,1,0.11698300000000002,0.02045165956319655,0.013205,0.003235580833997712,0.08369,0.015362798500851914,0.020077,0.002329816635607949
OMP,3,1024,2,0.07760800000000001,0.005469344466102764,0.018987999999999998,0.0022215099969765317,0.039732,0.0028644945258961287,0.018879,0.0012608854913203752
OMP,3,1024,4,0.091887,0.009315722730953305,0.024322,0.00258055463461292,0.045731999999999995,0.004902366322048522,0.02182,0.002086331176438145
OMP,3,1024,8,0.09720000000000001,0.004215194736505853,0.029857,0.0023082367007451095,0.043393999999999995,0.0024794049465323106,0.023932000000000002,0.001497188476222462
OMP,3,1024,16,0.07572499999999999,0.0028497378047033645,0.023196,0.0011820904270730631,0.028814,0.002233498501355118,0.023704999999999997,0.0016928033947666025
OMP,3,1024,32,0.065827,0.0021046564776440128,0.022578,0.0007320109288801637,0.019764,0.0010297702009024474,0.023475,0.001745758351611763
OMP,3,2048,1,0.38268900000000006,0.0204510523771598,0.044067,0.006296205294549339,0.272741,0.014142920844012375,0.065871,0.0009793472883053843
OMP,3,2048,2,0.278848,0.012248271351954568,0.067903,0.008986774294607728,0.145079,0.0066183070174915416,0.065856,0.0011864906236460498
OMP,3,2048,4,0.29325900000000005,0.02976793183201606,0.072501,0.007580339262416512,0.148955,0.014773031923820594,0.07179200000000001,0.007827992221650593
OMP,3,2048,8,0.274259,0.01708644651308293,0.07648999999999999,0.003508095399691033,0.123557,0.007884711014220992,0.0742,0.00768404552013817
OMP,3,2048,16,0.233535,0.022126093318874794,0.076995,0.008317021702508665,0.083338,0.00859549597819178,0.07319,0.007233184330262545
OMP,3,2048,32,0.21631099999999998,0.022379753473967385,0.07844500000000001,0.008061943865401752,0.06329500000000002,0.008258673891397119,0.07455899999999999,0.006792033650616815
OMP,3,4096,1,1.590091,0.060676818830038656,0.192939,0.023229334639153523,1.1313889999999998,0.04828415899650733,0.26575400000000005,0.00434618657880421
OMP,3,4096,2,1.136633,0.04075712536204893,0.267808,0.012307343607239826,0.597925,0.02818484551433033,0.270892,0.006215365905023864
OMP,3,4096,4,1.137711,0.08434897331259514,0.28174299999999997,0.03489440071288101,0.5786619999999999,0.04312511147811676,0.277296,0.009026764155061932
OMP,3,4096,8,1.055469,0.06958215072048925,0.282378,0.024402344058625916,0.4929340000000001,0.04319998899176815,0.28014700000000003,0.0044157471998896546
OMP,3,4096,16,0.893796,0.011735141148609102,0.28267,0.004248788062495007,0.328329,0.00540825182270369,0.282778,0.006350864857989381
OMP,3,4096,32,0.8094779999999998,0.01548605236261901,0.29112,0.005084053500898672,0.23849500000000004,0.009282894962719819,0.27985399999999994,0.00926429490031485
OMP,3,8192,1,6.6680660000000005,0.07417737978057141,0.8215349999999999,0.03633773987040043,4.546237,0.08147373278820859,1.300283,0.05381112690595592
OMP,3,8192,2,4.998976000000001,0.1669208742155662,1.0960940000000001,0.10015649778665829,2.478423,0.07140188871607123,1.42445,0.1182092426354405
OMP,3,8192,4,4.81751,0.12098850450444552,1.0835829999999997,0.03408389096528354,2.28096,0.028695460732782754,1.452959,0.11062380168340304
OMP,3,8192,8,4.385702,0.10935883836658512,1.0647140000000004,0.009856701273752837,1.9088370000000001,0.016114331130325548,1.4121409999999999,0.12076167819764307
OMP,3,8192,16,3.8645519999999998,0.12378050751228958,1.081984,0.04476110047301736,1.373085,0.033238713790464905,1.409478,0.09490144640040467
OMP,3,8192,32,3.546051,0.09245427151360351,1.090795,0.02007669253969223,1.038213,0.025738593611755758,1.4170339999999997,0.100738634340996
PTH,0,16,1,0.000768,0.000226950802304523,0.00021099999999999998,0.00020420305798123805,0.0004900000000000001,0.00010208928554075702,4.000000000000001e-05,1.1547005383792516e-05
PTH,0,16,2,0.00046100000000000004,3.446415206816755e-05,9e-05,1.0540925533894595e-05,0.000323,2.3118054512532944e-05,3.5000000000000004e-05,7.0710678118654756e-06
PTH,0,16,4,0.0005580000000000001,5.245103536738917e-05,0.00010200000000000001,1.3165611772087658e-05,0.000401,4.148627617792553e-05,3.800000000000001e-05,7.888106377466155e-06
PTH,0,16,8,0.007505999999999999,0.007612338230355594,0.005907999999999999,0.007743071167896567,0.0015379999999999999,0.0028588412571063358,4.300000000000001e-05,1.828782229912694e-05
PTH,0,16,16,0.008704,0.008342287456087808,0.007122000000000001,0.008664498190252503,0.001529,0.002016264147157091,3.800000000000001e-05,4.216370213557839e-06
PTH,0,16,32,0.001369,9.814388530225521e-05,6.400000000000001e-05,1.4298407059684809e-05,0.001267,9.333928552448978e-05,3.0000000000000004e-05,0.0
PTH,0,32,1,0.001317,0.00014000396819773044,0.000172,7.004760286167305e-05,0.001064,8.707595662536367e-05,6.6e-05,2.170509412813294e-05
PTH,0,32,2,0.0007740000000000001,5.189733454940949e-05,0.000108,1.751190071541826e-05,0.000601,4.67736868097628e-05,5.2000000000000004e-05,6.324555320336755e-06
PTH,0,32,4,0.000762,3.645392830531282e-05,0.00012500000000000003,9.71825315807549e-06,0.000556,3.3065591380365945e-05,6.8e-05,1.5491933384829667e-05
PTH,0,32,8,0.0008049999999999999,6.450667493454542e-05,0.00010300000000000001,1.418136492412176e-05,0.000634,5.3374983736661596e-05,5.8e-05,1.032795558988644e-05
PTH,0,32,16,0.001065,0.00018780900463561976,8.2e-05,1.1352924243950937e-05,0.0009209999999999999,0.00018758405523332147,5.300000000000001e-05,4.83045891539648e-06
PTH,0,32,32,0.0012920000000000002,9.484490263348663e-05,6.9e-05,5.676462121975468e-06,0.0011699999999999998,0.00010011104945120808,4e-05,0.0
PTH,0,64,1,0.003948999999999999,0.0002947861748605061,0.00025800000000000004,7.004760286167305e-05,0.003521,0.00022298231120676615,0.000151,2.8067379246694518e-05
PTH,0,64,2,0.0020779999999999996,0.00011764352935882203,0.000213,2.3593784492248515e-05,0.001729,9.53880961592635e-05,0.00012399999999999998,1.8378731669453627e-05
