algoritmo,regiao,tamanho,threads,total_mean,total_std,int_confianca_inf,int_confianca_sup
PTH,0,32,32,0.001292,0.0000948449026334866,0.00123321452031137,0.00135078547968863
PTH,0,64,1,0.003949,0.000294786174860506,0.00376628963588358,0.00413171036411642
PTH,0,64,2,0.002078,0.000117643529358822,0.00200508378506807,0.00215091621493193
PTH,0,64,4,0.001653,0.000105309068935206,0.00158772876284304,0.00171827123715696
PTH,0,64,8,0.001511,0.000219921703239029,0.00137469111612876,0.00164730888387124
PTH,0,64,16,0.001562,0.00011933147112141,0.00148803758792468,0.00163596241207532
PTH,0,64,32,0.001653,0.000104674097400774,0.00158812232227748,0.00171787767772252
PTH,0,128,1,0.015368,0.00117179634180461,0.0146417131027847,0.0160942868972153
PTH,0,128,2,0.006382,0.000761501440868265,0.00591001651704983,0.00685398348295017
PTH,0,128,4,0.005309,0.00130126818484465,0.00450246562307887,0.00611553437692113
PTH,0,128,8,0.003496,0.000190449760071025,0.00337795801575522,0.00361404198424478
PTH,0,128,16,0.003673,0.000482955024361022,0.00337366137465702,0.00397233862534298
PTH,0,128,32,0.003436,0.000421668642946621,0.00317464706740161,0.00369735293259839
PTH,0,256,1,0.058743,0.00492440419407939,0.055690822658975,0.061795177341025
PTH,0,256,2,0.023332,0.000948997131479098,0.0227438054840257,0.0239201945159743
PTH,0,256,4,0.015516,0.000460511792586369,0.0152305718338278,0.0158014281661722
PTH,0,256,8,0.012052,0.00129722610039868,0.0112479709329743,0.0128560290670257
PTH,0,256,16,0.011472,0.000741556920719285,0.0110123782587098,0.0119316217412902
PTH,0,256,32,0.009706,0.000500959080165237,0.00939550234525845,0.0100164976547415
PTH,0,512,1,0.216894,0.0156660880744223,0.207184058013365,0.226603941986635
PTH,0,512,2,0.093821,0.000891919901735081,0.0932681823175364,0.0943738176824636
PTH,0,512,4,0.070427,0.00444924225758349,0.0676693310784166,0.0731846689215833
PTH,0,512,8,0.051819,0.00194097598588385,0.0506159706201796,0.0530220293798204
PTH,0,512,16,0.050137,0.0039209807446607,0.047706750956301,0.052567249043699
PTH,0,512,32,0.047266,0.00372220723048391,0.0449589520567906,0.0495730479432094
PTH,0,1024,1,0.90176,0.0733675312685689,0.856286332997989,0.947233667002011
PTH,0,1024,2,0.339687,0.0170237723003256,0.329135556611926,0.350238443388074
PTH,0,1024,4,0.238554,0.0259303272465102,0.222482216663791,0.254625783336209
PTH,0,1024,8,0.181946,0.0333690565910662,0.161263644449031,0.202628355550969
PTH,0,1024,16,0.20169,0.0753337759574018,0.154997641913821,0.248382358086179
PTH,0,1024,32,0.183365,0.0317545567158829,0.163683321839008,0.203046678160992
PTH,0,2048,1,3.535979,0.175556957041171,3.42716767070567,3.64479032929433
PTH,0,2048,2,1.435856,0.102676931651337,1.37221617843357,1.49949582156643
PTH,0,2048,4,0.986486,0.0811283185522239,0.936202147204515,1.03676985279549
PTH,0,2048,8,0.623606,0.0186029885293257,0.612075748252424,0.635136251747576
PTH,0,2048,16,0.623816,0.0284037083650866,0.606211199163945,0.641420800836055
PTH,0,2048,32,0.612658,0.051227612519465,0.580906796807803,0.644409203192197
PTH,0,4096,1,13.791536,0.281311812336418,13.6171771323002,13.9658948676998
PTH,0,4096,2,5.653417,0.146102738513387,5.5628615844863,5.7439724155137
PTH,0,4096,4,3.77887,0.245336138797365,3.62680908577363,3.93093091422637
PTH,0,4096,8,2.543042,0.105121588944528,2.47788696414515,2.60819703585485
PTH,0,4096,16,2.494013,0.107609307946231,2.42731605993327,2.56070994006673
PTH,0,4096,32,2.38922,0.0273515540895049,2.37226733114025,2.40617266885975
PTH,0,8192,1,52.951247,6.54275311070373,48.8960066083968,57.0064873916032
PTH,0,8192,2,23.091922,0.99451520184795,22.4755150917217,23.7083289082783
PTH,0,8192,4,15.606086,0.606866591823204,15.2299461894591,15.9822258105409
PTH,0,8192,8,12.070738,2.06513948894392,10.7907512836803,13.3507247163197
PTH,0,8192,16,10.173554,0.203587273188783,10.0473693007637,10.2997386992363
PTH,0,8192,32,10.336188,0.143312176640136,10.2473621926546,10.4250138073454
PTH,1,16,1,0.000525,0.0000386580450158107,0.000501039495460701,0.000548960504539299
PTH,1,16,2,0.00055,0.0000898146239020499,0.000494332319370512,0.000605667680629488
PTH,1,16,4,0.000565,0.0000506074215022966,0.000533633195182734,0.000596366804817266
PTH,1,16,8,0.000667,0.000250068879400145,0.000512005702757237,0.000821994297242762
PTH,1,16,16,0.001303,0.000329782756775831,0.00109859852968565,0.00150740147031435
PTH,1,16,32,0.004526,0.00482592812029171,0.00153485876186214,0.00751714123813786
PTH,1,32,1,0.00103,0.0000561743318211758,0.000995182788419774,0.00106481721158023
PTH,1,32,2,0.000919,0.0000835929289938915,0.000867188565826537,0.000970811434173463
PTH,1,32,4,0.000792,0.0000737563556583431,0.000746285337144413,0.000837714662855587
PTH,1,32,8,0.000705,0.0000392286743197994,0.000680685815753854,0.000729314184246147
PTH,1,32,16,0.001929,0.000962617381009829,0.00133236356590559,0.00252563643409441
PTH,1,32,32,0.004319,0.00647698052078796,0.000304525881978232,0.00833347411802177
PTH,1,64,1,0.003028,0.0000854790422657312,0.00297501954070918,0.00308098045929082
PTH,1,64,2,0.002119,0.000105351264296585,0.0020537026098871,0.00218429739011289
PTH,1,64,4,0.001468,0.0000755424825291483,0.00142117828424047,0.00151482171575953
PTH,1,64,8,0.001066,0.0000631048510197292,0.00102688720811692,0.00110511279188308
PTH,1,64,16,0.001783,0.000723510730934779,0.00133456340301988,0.00223143659698012
PTH,1,64,32,0.002074,0.000650131610607507,0.00167104425299489,0.00247695574700511
PTH,1,128,1,0.009447,0.000327958330686487,0.00924372932069118,0.00965027067930881
PTH,1,128,2,0.006907,0.000456120110886985,0.00662429382634576,0.00718970617365424
PTH,1,128,4,0.003747,0.000191720282356006,0.00362817053788447,0.00386582946211553
PTH,1,128,8,0.002991,0.000482480857421077,0.00269195526637121,0.00329004473362879
PTH,1,128,16,0.003178,0.000419094261473478,0.00291824268556978,0.00343775731443022
PTH,1,128,32,0.003632,0.000279435939786643,0.00345880381015225,0.00380519618984775
PTH,1,256,1,0.037555,0.00353415163480258,0.0353645101225728,0.0397454898774272
PTH,1,256,2,0.025337,0.000560714821554694,0.0249894653530302,0.0256845346469698
PTH,1,256,4,0.014351,0.00111151998032724,0.0136620727786866,0.0150399272213134
PTH,1,256,8,0.011184,0.000526523187207047,0.0108576575475568,0.0115103424524432
PTH,1,256,16,0.010813,0.00128081614605688,0.0100191419280501,0.0116068580719499
PTH,1,256,32,0.010047,0.000932285721582534,0.00946916332319014,0.0106248366768099
PTH,1,512,1,0.159588,0.0216795365879132,0.146150884009987,0.173025115990013
PTH,1,512,2,0.102259,0.0029054028215646,0.100458212674461,0.104059787325539
